iter	Passed	Remaining
0	8	8332
1	16	8073
2	29	9900
3	41	10283
4	43	8743
5	46	7664
6	52	7409
7	58	7247
8	66	7333
9	73	7321
10	76	6898
11	78	6503
12	81	6168
13	83	5882
14	85	5631
15	87	5411
16	90	5215
17	92	5045
18	94	4893
19	97	4753
20	99	4628
21	101	4514
22	103	4404
23	105	4303
24	108	4213
25	110	4130
26	112	4044
27	114	3974
28	116	3908
29	118	3846
30	121	3788
31	123	3734
32	125	3683
33	127	3636
34	130	3590
35	132	3547
36	134	3507
37	136	3467
38	139	3432
39	141	3391
40	143	3359
41	145	3326
42	148	3296
43	150	3262
44	152	3235
45	154	3208
46	156	3182
47	159	3161
48	161	3138
49	164	3117
50	166	3097
51	168	3078
52	171	3065
53	175	3067
54	177	3047
55	179	3029
56	181	3009
57	184	2993
58	187	2982
59	189	2965
60	192	2964
61	194	2947
62	197	2938
63	199	2922
64	202	2908
65	204	2900
66	208	2897
67	211	2892
68	213	2878
69	215	2864
70	218	2858
71	220	2844
72	223	2833
73	226	2831
74	228	2818
75	230	2805
76	232	2792
77	235	2781
78	237	2769
79	239	2758
80	242	2746
81	244	2735
82	246	2724
83	248	2713
84	251	2702
85	253	2692
86	255	2682
87	257	2671
88	260	2661
89	262	2652
90	264	2642
91	266	2632
92	268	2621
93	271	2612
94	273	2603
95	275	2594
96	277	2585
97	279	2568
98	281	2559
99	283	2551
100	285	2543
101	288	2537
102	290	2528
103	292	2519
104	294	2512
105	296	2504
106	299	2497
107	301	2489
108	303	2482
109	305	2475
110	308	2468
111	310	2461
112	312	2454
113	314	2447
114	317	2440
115	319	2434
116	321	2428
117	323	2421
118	326	2415
119	328	2408
120	330	2402
121	332	2393
122	334	2387
123	337	2381
124	339	2374
125	341	2368
126	343	2362
127	345	2356
128	348	2351
129	350	2345
130	352	2339
131	354	2333
132	356	2327
133	359	2321
134	361	2315
135	363	2310
136	365	2304
137	368	2299
138	370	2294
139	372	2289
140	374	2283
141	377	2278
142	379	2273
143	381	2268
144	383	2263
145	386	2258
146	387	2249
147	389	2244
148	392	2239
149	394	2235
150	396	2230
151	398	2225
152	401	2220
153	403	2215
154	405	2211
155	407	2206
156	410	2201
157	412	2197
158	414	2192
159	416	2188
160	419	2183
161	421	2179
162	423	2174
163	425	2170
164	427	2164
165	430	2160
166	432	2156
167	434	2152
168	436	2148
169	438	2143
170	441	2138
171	443	2134
172	445	2130
173	448	2127
174	450	2123
175	452	2119
176	455	2116
177	457	2112
178	459	2108
179	461	2104
180	464	2100
181	466	2096
182	468	2093
183	471	2092
184	475	2093
185	477	2089
186	479	2086
187	482	2084
188	487	2090
189	490	2089
190	492	2085
191	494	2082
192	498	2084
193	501	2082
194	504	2082
195	507	2079
196	509	2076
197	511	2072
198	513	2068
199	516	2064
200	518	2061
201	521	2060
202	524	2058
203	526	2055
204	528	2049
205	530	2046
206	533	2043
207	535	2039
208	537	2036
209	540	2034
210	543	2031
211	546	2031
212	549	2031
213	552	2028
214	554	2024
215	556	2020
216	558	2016
217	561	2013
218	564	2011
219	566	2007
220	569	2006
221	571	2002
222	573	1998
223	575	1994
224	578	1991
225	580	1987
226	582	1983
227	584	1980
228	587	1976
229	589	1972
230	591	1969
231	593	1965
232	596	1962
233	598	1958
234	600	1955
235	602	1951
236	605	1948
237	607	1944
238	609	1940
239	611	1937
240	614	1933
241	616	1930
242	618	1926
243	620	1923
244	622	1919
245	625	1916
246	627	1912
247	629	1908
248	631	1905
249	634	1902
250	636	1898
251	638	1895
252	640	1891
253	642	1888
254	645	1884
255	647	1881
256	649	1878
257	651	1874
258	654	1871
259	656	1868
260	658	1864
261	660	1861
262	662	1857
263	665	1854
264	667	1850
265	669	1847
266	671	1843
267	673	1840
268	676	1837
269	678	1833
270	680	1830
271	682	1826
272	684	1823
273	686	1820
274	689	1816
275	691	1813
276	693	1810
277	695	1806
278	697	1803
279	700	1800
280	702	1797
281	704	1794
282	706	1791
283	709	1787
284	711	1784
285	713	1781
286	715	1778
287	718	1776
288	720	1773
289	723	1770
290	725	1767
291	728	1765
292	731	1765
293	733	1762
294	736	1759
295	738	1755
296	740	1752
297	743	1750
298	745	1748
299	748	1745
300	751	1744
301	754	1743
302	756	1740
303	758	1737
304	761	1734
305	763	1731
306	765	1728
307	767	1725
308	770	1722
309	772	1719
310	774	1716
311	776	1713
312	779	1710
313	781	1707
314	783	1704
315	785	1701
316	788	1698
317	790	1695
318	792	1692
319	794	1689
320	797	1686
321	799	1683
322	801	1680
323	804	1677
324	806	1675
325	808	1672
326	811	1669
327	813	1666
328	815	1663
329	817	1660
330	819	1657
331	822	1654
332	824	1651
333	826	1648
334	828	1645
335	831	1642
336	833	1639
337	835	1636
338	837	1633
339	840	1630
340	842	1627
341	844	1624
342	846	1621
343	848	1618
344	851	1615
345	853	1613
346	855	1610
347	857	1607
348	860	1604
349	862	1601
350	864	1598
351	866	1595
352	869	1592
353	871	1590
354	873	1587
355	875	1584
356	878	1581
357	880	1578
358	882	1575
359	884	1572
360	886	1569
361	889	1566
362	891	1564
363	893	1561
364	895	1558
365	897	1555
366	900	1552
367	902	1549
368	904	1547
369	906	1544
370	909	1541
371	911	1538
372	913	1535
373	915	1533
374	918	1530
375	920	1527
376	922	1524
377	924	1521
378	926	1518
379	929	1515
380	931	1513
381	933	1510
382	935	1507
383	938	1504
384	940	1502
385	942	1499
386	944	1496
387	946	1493
388	948	1489
389	951	1487
390	953	1485
391	955	1482
392	958	1480
393	961	1478
394	964	1476
395	966	1474
396	968	1471
397	971	1468
398	974	1467
399	976	1464
400	979	1462
401	982	1461
402	984	1458
403	987	1456
404	989	1453
405	991	1450
406	993	1447
407	996	1445
408	998	1442
409	1000	1439
410	1002	1437
411	1005	1434
412	1007	1431
413	1009	1428
414	1011	1426
415	1013	1423
416	1016	1420
417	1018	1417
418	1020	1415
419	1022	1412
420	1025	1410
421	1027	1407
422	1029	1404
423	1031	1401
424	1034	1399
425	1036	1396
426	1038	1393
427	1040	1391
428	1043	1388
429	1045	1385
430	1047	1383
431	1050	1380
432	1052	1377
433	1054	1375
434	1056	1372
435	1059	1369
436	1061	1367
437	1063	1364
438	1065	1361
439	1067	1359
440	1070	1356
441	1072	1353
442	1074	1351
443	1076	1348
444	1079	1345
445	1081	1343
446	1083	1340
447	1085	1337
448	1088	1335
449	1090	1332
450	1092	1329
451	1094	1327
452	1096	1324
453	1099	1322
454	1101	1319
455	1103	1316
456	1105	1314
457	1108	1311
458	1110	1308
459	1112	1306
460	1114	1303
461	1117	1300
462	1119	1298
463	1121	1295
464	1123	1292
465	1125	1290
466	1128	1287
467	1130	1285
468	1132	1282
469	1134	1279
470	1137	1277
471	1139	1274
472	1141	1271
473	1143	1269
474	1145	1266
475	1148	1263
476	1150	1261
477	1152	1258
478	1154	1256
479	1157	1253
480	1159	1251
481	1161	1248
482	1164	1246
483	1166	1243
484	1168	1240
485	1170	1238
486	1173	1235
487	1175	1233
488	1177	1230
489	1180	1228
490	1182	1225
491	1184	1223
492	1186	1220
493	1189	1218
494	1192	1216
495	1194	1213
496	1196	1211
497	1200	1209
498	1202	1207
499	1205	1205
500	1207	1202
501	1211	1201
502	1213	1198
503	1215	1196
504	1217	1193
505	1220	1191
506	1222	1188
507	1224	1186
508	1226	1183
509	1229	1180
510	1231	1178
511	1233	1175
512	1235	1173
513	1238	1170
514	1240	1168
515	1242	1165
516	1244	1163
517	1247	1160
518	1249	1157
519	1251	1155
520	1253	1152
521	1256	1150
522	1258	1147
523	1260	1145
524	1262	1142
525	1265	1140
526	1267	1137
527	1269	1134
528	1271	1132
529	1274	1129
530	1276	1127
531	1278	1124
532	1280	1122
533	1283	1119
534	1285	1117
535	1287	1114
536	1289	1112
537	1292	1109
538	1294	1106
539	1296	1104
540	1298	1101
541	1300	1099
542	1303	1096
543	1305	1094
544	1307	1091
545	1309	1089
546	1312	1086
547	1314	1084
548	1316	1081
549	1318	1079
550	1321	1076
551	1323	1073
552	1325	1071
553	1327	1068
554	1329	1066
